date,exercise,weight,units,reps
11/2/12,front barbell squat,155,lb,6
11/3/12,barbell squat,135,lb,5
11/3/12,barbell squat,185,lb,5
11/3/12,barbell squat,225,lb,3
11/3/12,barbell squat,240,lb,3
11/3/12,barbell squat,240,lb,3
11/3/12,barbell squat,240,lb,3
11/3/12,barbell squat,240,lb,3
11/3/12,barbell squat,240,lb,3
11/3/12,barbell squat,240,lb,3
11/3/12,barbell squat,240,lb,3
11/3/12,barbell squat,240,lb,3
11/3/12,clean,135,lb,3
11/3/12,clean,165,lb,3
11/3/12,clean,175,lb,3
11/3/12,clean,165,lb,2
11/3/12,clean,165,lb,2
11/4/12,power clean,165,lb,3
11/4/12,power clean,155,lb,3
11/4/12,power clean,155,lb,3
11/4/12,power clean,155,lb,3
11/4/12,power clean,155,lb,3
11/4/12,power clean,155,lb,3
11/4/12,power clean,155,lb,3
11/4/12,power clean,155,lb,3
11/4/12,power clean,155,lb,3
11/4/12,power clean,155,lb,3
11/4/12,power clean,155,lb,3
11/5/12,barbell deadlift,225,lb,5
11/5/12,barbell deadlift,225,lb,5
11/5/12,barbell deadlift,225,lb,5
11/5/12,barbell deadlift,225,lb,5
11/5/12,barbell deadlift,225,lb,5
11/5/12,barbell squat,135,lb,2
11/5/12,barbell squat,135,lb,2
11/5/12,barbell squat,135,lb,2
11/5/12,clean,135,lb,1
11/5/12,clean,135,lb,1
11/5/12,clean,135,lb,1
11/5/12,clean,135,lb,1
11/5/12,clean,135,lb,1
11/6/12,barbell squat,135,lb,5
11/6/12,barbell squat,185,lb,3
11/6/12,barbell squat,185,lb,3
11/6/12,barbell squat,225,lb,3
11/6/12,barbell squat,225,lb,3
11/6/12,barbell squat,240,lb,3
11/6/12,barbell squat,240,lb,3
11/6/12,clean,135,lb,3
11/6/12,clean,155,lb,1
11/6/12,clean,155,lb,1
11/6/12,clean,155,lb,1
11/6/12,clean,155,lb,1
11/6/12,clean,155,lb,1
11/7/12,clean,135,lb,1
11/7/12,clean,135,lb,1
11/7/12,clean,135,lb,1
11/7/12,clean,135,lb,1
11/7/12,clean,135,lb,1
11/8/12,barbell squat,135,lb,3
11/8/12,barbell squat,135,lb,3
11/8/12,barbell squat,135,lb,3
11/8/12,barbell squat,135,lb,3
11/8/12,clean,135,lb,1
11/8/12,clean,135,lb,1
11/8/12,clean,135,lb,1
11/8/12,clean,135,lb,1
11/8/12,clean,135,lb,1
11/8/12,power clean,145,lb,5
11/8/12,power clean,145,lb,5
11/8/12,power clean,145,lb,5
11/8/12,power clean,145,lb,5
11/8/12,power clean,145,lb,5
11/8/12,power clean,145,lb,5
11/8/12,power clean,145,lb,4
11/8/12,front barbell squat,145,lb,4
11/8/12,front barbell squat,145,lb,4
11/8/12,front barbell squat,145,lb,4
11/8/12,front barbell squat,145,lb,4
11/8/12,front barbell squat,145,lb,4
11/8/12,front barbell squat,145,lb,4
11/10/12,barbell squat,135,lb,3
11/10/12,barbell squat,135,lb,3
11/10/12,barbell squat,165,lb,3
11/10/12,barbell squat,185,lb,2
11/10/12,barbell squat,205,lb,2
11/10/12,barbell squat,225,lb,1
11/10/12,barbell squat,245,lb,1
11/10/12,barbell squat,255,lb,1
11/10/12,barbell squat,285,lb,1
11/10/12,clean,135,lb,5
11/10/12,clean,135,lb,5
11/10/12,clean,155,lb,3
11/10/12,clean,165,lb,2
11/10/12,clean,185,lb,1
11/10/12,clean,215,lb,1
11/10/12,power clean,95,lb,15
11/10/12,power clean,95,lb,15
11/10/12,power clean,95,lb,15
11/10/12,power clean,95,lb,15
11/10/12,power clean,95,lb,15
11/10/12,power clean,95,lb,15
11/10/12,power clean,95,lb,15
11/19/12,power clean,135,lb,20
11/19/12,power clean,135,lb,20
11/27/12,power clean,155,lb,1
