"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Front Barbell Squat",2012-11-27,302,155,,1,,"155 lb || 1 reps","41"
"Front Barbell Squat",2012-11-27,303,155,,1,,"155 lb || 1 reps","41"
"Front Barbell Squat",2012-11-27,304,155,,1,,"155 lb || 1 reps","41"
"Front Barbell Squat",2012-11-27,305,155,,1,,"155 lb || 1 reps","41"
"Front Barbell Squat",2012-11-27,306,155,,1,,"155 lb || 1 reps","41"
"Front Barbell Squat",2012-11-27,307,155,,1,,"155 lb || 1 reps","41"
"Front Barbell Squat",2012-11-27,308,155,,1,,"155 lb || 1 reps","41"
"Front Barbell Squat",2012-11-27,309,155,,1,,"155 lb || 1 reps","41"
"Front Barbell Squat",2012-11-27,310,155,,1,,"155 lb || 1 reps","41"
"Front Barbell Squat",2012-12-12,301,135,,5,,"135 lb || 5 reps","66"
"Front Barbell Squat",2012-12-12,302,135,,5,,"135 lb || 5 reps","66"
"Front Barbell Squat",2012-12-12,303,165,,5,,"165 lb || 5 reps","80"
"Front Barbell Squat",2012-12-12,304,165,,5,,"165 lb || 5 reps","80"
"Front Barbell Squat",2012-12-12,305,165,,5,,"165 lb || 5 reps","80"
"Front Barbell Squat",2012-12-12,306,165,,5,,"165 lb || 5 reps","80"
"Front Barbell Squat",2013-01-13,201,155,,5,,"155 lb || 5 reps","75"
"Front Barbell Squat",2013-01-13,202,155,,5,,"155 lb || 5 reps","75"
"Front Barbell Squat",2013-01-13,203,155,,5,,"155 lb || 5 reps","75"
"Front Barbell Squat",2013-01-13,204,155,,5,,"155 lb || 5 reps","75"
"Front Barbell Squat",2013-01-13,205,155,,5,,"155 lb || 5 reps","75"
"Front Barbell Squat",2013-01-13,206,155,,5,,"155 lb || 5 reps","75"
"Front Barbell Squat",2013-01-13,207,155,,5,,"155 lb || 5 reps","75"
"Front Barbell Squat",2013-01-13,208,155,,5,,"155 lb || 5 reps","75"
"Front Barbell Squat",2013-01-13,209,155,,5,,"155 lb || 5 reps","75"
"Front Barbell Squat",2013-01-13,210,155,,5,,"155 lb || 5 reps","75"
"Front Barbell Squat",2013-01-15,1,135,,5,,"135 lb || 5 reps","66"
"Front Barbell Squat",2013-01-15,2,155,,5,,"155 lb || 5 reps","75"
"Front Barbell Squat",2013-01-15,3,175,,5,,"175 lb || 5 reps","86"
"Front Barbell Squat",2013-01-15,4,175,,5,,"175 lb || 5 reps","86"
"Front Barbell Squat",2013-01-15,5,175,,5,,"175 lb || 5 reps","86"
"Front Barbell Squat",2013-01-15,6,185,,5,,"185 lb || 5 reps","92"
"Front Barbell Squat",2013-01-31,101,115,,12,,"115 lb || 12 reps","69"
"Front Barbell Squat",2013-01-31,102,115,,12,,"115 lb || 12 reps","69"
"Front Barbell Squat",2013-01-31,103,115,,12,,"115 lb || 12 reps","69"
"Front Barbell Squat",2013-01-31,104,115,,12,,"115 lb || 12 reps","69"
"Front Barbell Squat",2013-01-31,105,115,,12,,"115 lb || 12 reps","69"
"Front Barbell Squat",2013-02-18,101,135,,5,,"135 lb || 5 reps","66"
"Front Barbell Squat",2013-02-18,102,135,,5,,"135 lb || 5 reps","66"
"Front Barbell Squat",2013-02-18,103,135,,5,,"135 lb || 5 reps","66"
"Front Barbell Squat",2013-02-18,104,135,,5,,"135 lb || 5 reps","66"
"Front Barbell Squat",2013-02-19,301,135,,5,,"135 lb || 5 reps","66"
"Front Barbell Squat",2013-02-19,302,165,,5,,"165 lb || 5 reps","80"
"Front Barbell Squat",2013-02-19,303,165,,5,,"165 lb || 5 reps","80"
"Front Barbell Squat",2013-02-19,304,165,,5,,"165 lb || 5 reps","80"
"Front Barbell Squat",2013-02-22,101,115,,10,,"115 lb || 10 reps","68"
"Front Barbell Squat",2013-02-22,102,115,,10,,"115 lb || 10 reps","68"
"Front Barbell Squat",2013-02-22,103,115,,10,,"115 lb || 10 reps","68"
"Front Barbell Squat",2013-02-22,104,115,,10,,"115 lb || 10 reps","68"
"Front Barbell Squat",2013-02-22,105,115,,10,,"115 lb || 10 reps","68"
"Front Barbell Squat",2013-02-24,1,135,,5,,"135 lb || 5 reps","66"
"Front Barbell Squat",2013-02-24,2,135,,5,,"135 lb || 5 reps","66"
"Front Barbell Squat",2013-02-24,3,155,,5,,"155 lb || 5 reps","75"
"Front Barbell Squat",2013-02-24,4,175,,5,,"175 lb || 5 reps","86"
"Front Barbell Squat",2013-02-24,5,185,,5,,"185 lb || 5 reps","92"
"Front Barbell Squat",2013-02-24,6,185,,5,,"185 lb || 5 reps","92"
"Front Barbell Squat",2013-02-24,7,185,,5,,"185 lb || 5 reps","92"
"Front Barbell Squat",2013-02-27,1,185,,5,,"185 lb || 5 reps","92"
"Front Barbell Squat",2013-02-27,2,185,,5,,"185 lb || 5 reps","92"
"Front Barbell Squat",2013-03-03,101,155,,5,,"155 lb || 5 reps","75"
"Front Barbell Squat",2013-03-03,102,155,,5,,"155 lb || 5 reps","75"
"Front Barbell Squat",2013-03-03,103,155,,5,,"155 lb || 5 reps","75"
"Front Barbell Squat",2013-03-03,104,155,,5,,"155 lb || 5 reps","75"
"Front Barbell Squat",2013-03-03,105,155,,5,,"155 lb || 5 reps","75"
"Front Barbell Squat",2013-03-03,106,155,,5,,"155 lb || 5 reps","75"
"Front Barbell Squat",2013-03-03,107,155,,5,,"155 lb || 5 reps","75"
"Front Barbell Squat",2013-03-03,108,155,,5,,"155 lb || 5 reps","75"
"Front Barbell Squat",2013-03-04,1,135,,5,,"135 lb || 5 reps","66"
"Front Barbell Squat",2013-03-04,2,155,,4,,"155 lb || 4 reps","69"
"Front Barbell Squat",2013-03-04,3,175,,4,,"175 lb || 4 reps","79"
"Front Barbell Squat",2013-03-04,4,195,,4,,"195 lb || 4 reps","90"
"Front Barbell Squat",2013-03-04,5,195,,4,,"195 lb || 4 reps","90"
"Front Barbell Squat",2013-03-04,6,195,,4,,"195 lb || 4 reps","90"
"Front Barbell Squat",2013-03-13,301,195,,5,,"195 lb || 5 reps","99"
"Front Barbell Squat",2013-03-22,101,135,,3,,"135 lb || 3 reps","53"
"Front Barbell Squat",2013-03-22,102,155,,2,,"155 lb || 2 reps","51"
"Front Barbell Squat",2013-03-22,103,175,,1,,"175 lb || 1 reps","47"
"Front Barbell Squat",2013-03-22,104,185,,1,,"185 lb || 1 reps","50"
"Front Barbell Squat",2013-03-22,105,205,,1,,"205 lb || 1 reps","58"
"Front Barbell Squat",2013-03-22,106,225,,1,,"225 lb || 1 reps","66"
"Front Barbell Squat",2013-03-22,107,235,,1,,"235 lb || 1 reps","71"
"Front Barbell Squat",2013-03-26,101,205,,1,,"205 lb || 1 reps","58"
"Front Barbell Squat",2013-03-26,102,205,,1,,"205 lb || 1 reps","58"
"Front Barbell Squat",2013-03-26,103,205,,1,,"205 lb || 1 reps","58"
"Front Barbell Squat",2013-03-26,104,205,,1,,"205 lb || 1 reps","58"
"Front Barbell Squat",2013-03-26,105,205,,1,,"205 lb || 1 reps","58"
"Front Barbell Squat",2013-03-26,106,155,,5,,"155 lb || 5 reps","75"
"Front Barbell Squat",2013-03-26,107,155,,5,,"155 lb || 5 reps","75"
"Front Barbell Squat",2013-03-26,108,155,,5,,"155 lb || 5 reps","75"
"Front Barbell Squat",2013-03-26,109,155,,5,,"155 lb || 5 reps","75"
"Front Barbell Squat",2013-03-26,110,155,,5,,"155 lb || 5 reps","75"
"Front Barbell Squat",2013-04-01,701,155,,2,,"155 lb || 2 reps","51"
"Front Barbell Squat",2013-04-01,702,155,,2,,"155 lb || 2 reps","51"
"Front Barbell Squat",2013-04-01,703,155,,2,,"155 lb || 2 reps","51"
"Front Barbell Squat",2013-04-01,704,155,,2,,"155 lb || 2 reps","51"
"Front Barbell Squat",2013-04-30,1,135,,5,,"135 lb || 5 reps","66"
"Front Barbell Squat",2013-04-30,2,135,,5,,"135 lb || 5 reps","66"
"Front Barbell Squat",2013-04-30,3,185,,3,,"185 lb || 3 reps","74"
"Front Barbell Squat",2013-04-30,4,185,,3,,"185 lb || 3 reps","74"
"Front Barbell Squat",2013-04-30,5,205,,1,,"205 lb || 1 reps","58"
"Front Barbell Squat",2013-04-30,6,225,,1,,"225 lb || 1 reps","66"
"Front Barbell Squat",2013-04-30,7,235,,1,,"235 lb || 1 reps","71"
"Front Barbell Squat",2013-04-30,8,245,,1,,"245 lb || 1 reps","76"
"Front Barbell Squat",2013-04-30,9,185,,10,,"185 lb || 10 reps","109"
"Front Barbell Squat",2013-04-30,10,185,,10,,"185 lb || 10 reps","109"
"Front Barbell Squat",2013-04-30,11,185,,10,,"185 lb || 10 reps","109"
"Front Barbell Squat",2013-05-02,201,195,,5,,"195 lb || 5 reps","99"
"Front Barbell Squat",2013-05-02,202,195,,5,,"195 lb || 5 reps","99"
"Front Barbell Squat",2013-05-02,203,195,,5,,"195 lb || 5 reps","99"
"Front Barbell Squat",2013-05-02,204,195,,5,,"195 lb || 5 reps","99"
"Front Barbell Squat",2013-05-02,205,195,,5,,"195 lb || 5 reps","99"
"Front Barbell Squat",2013-05-02,206,165,,5,,"165 lb || 5 reps","80"
"Front Barbell Squat",2013-05-02,207,165,,5,,"165 lb || 5 reps","80"
"Front Barbell Squat",2013-05-04,1,165,,3,,"165 lb || 3 reps","64"
"Front Barbell Squat",2013-05-04,2,185,,3,,"185 lb || 3 reps","74"
"Front Barbell Squat",2013-05-04,3,205,,3,,"205 lb || 3 reps","85"
"Front Barbell Squat",2013-05-04,4,215,,3,,"215 lb || 3 reps","90"
"Front Barbell Squat",2013-05-04,5,235,,3,,"235 lb || 3 reps","104"
"Front Barbell Squat",2013-05-04,6,235,,3,,"235 lb || 3 reps","104"
"Front Barbell Squat",2013-05-04,7,235,,3,,"235 lb || 3 reps","104"
"Front Barbell Squat",2013-05-04,8,235,,3,,"235 lb || 3 reps","104"
"Front Barbell Squat",2013-05-04,9,235,,3,,"235 lb || 3 reps","104"
"Front Barbell Squat",2013-05-04,10,235,,3,,"235 lb || 3 reps","104"
"Front Barbell Squat",2013-05-04,11,235,,3,,"235 lb || 3 reps","104"
"Front Barbell Squat",2013-08-14,101,135,,3,,"135 lb || 3 reps","55"
"Front Barbell Squat",2013-08-14,102,155,,3,,"155 lb || 3 reps","63"
"Front Barbell Squat",2013-08-14,103,185,,3,,"185 lb || 3 reps","78"
"Front Barbell Squat",2013-08-14,104,205,,5,,"205 lb || 5 reps","111"
"Front Barbell Squat",2013-08-14,105,205,,5,,"205 lb || 5 reps","111"
"Front Barbell Squat",2013-08-14,106,205,,5,,"205 lb || 5 reps","111"
"Front Barbell Squat",2013-10-02,1,135,,5,,"135 lb || 5 reps","69"
"Front Barbell Squat",2013-10-02,2,185,,5,,"185 lb || 5 reps","97"
"Front Barbell Squat",2013-10-02,3,185,,3,,"185 lb || 3 reps","78"
"Front Barbell Squat",2013-10-02,4,205,,5,,"205 lb || 5 reps","111"
"Front Barbell Squat",2013-10-02,5,205,,5,,"205 lb || 5 reps","111"
"Front Barbell Squat",2013-10-02,6,205,,5,,"205 lb || 5 reps","111"
"Front Barbell Squat",2013-10-10,1,135,,3,,"135 lb || 3 reps","55"
"Front Barbell Squat",2013-10-10,2,185,,3,,"185 lb || 3 reps","78"
"Front Barbell Squat",2013-10-10,3,205,,3,,"205 lb || 3 reps","89"
"Front Barbell Squat",2013-10-10,4,215,,5,,"215 lb || 5 reps","118"
"Front Barbell Squat",2013-10-10,5,215,,5,,"215 lb || 5 reps","118"
"Front Barbell Squat",2013-10-10,6,215,,5,,"215 lb || 5 reps","118"
"Front Barbell Squat",2013-12-09,26,185,,2,,"185 lb || 2 reps","65"
"Front Barbell Squat",2013-12-09,27,225,,2,,"225 lb || 2 reps","86"
"Front Barbell Squat",2013-12-09,28,255,,1,,"255 lb || 1 reps","85"
"Front Barbell Squat",2013-12-09,29,275,,1,,"275 lb || 1 reps","97"
